feature_set,cv_pr_auc,test_pr_auc,test_roc_auc,test_f1
All features,0.7046226607442477,0.7259077188527582,0.9292788728272598,0.6878612716763006
Without PageValues,0.3359206144772202,0.3403437690494498,0.7698648343809634,0.24066390041493776
